"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group E","some high school","standard","none","66","66","69"
"female","group D","some college","free/reduced","completed","55","75","76"
"female","group C","some high school","standard","none","46","60","57"
"male","group C","some college","standard","none","53","41","42"
"male","group C","some college","standard","none","72","73","70"
"female","group C","high school","free/reduced","completed","53","70","71"
"female","group E","some college","standard","none","91","93","88"
"male","group D","some college","standard","completed","70","76","71"
"male","group D","some high school","free/reduced","none","73","70","64"
"female","group D","some college","free/reduced","completed","78","89","94"
"male","group D","some high school","standard","none","52","49","47"
"male","group C","bachelor's degree","standard","completed","97","79","84"
"female","group C","some high school","standard","completed","64","74","74"
"male","group D","high school","free/reduced","completed","69","77","75"
"male","group E","some high school","free/reduced","completed","59","61","55"
"male","group D","bachelor's degree","standard","completed","80","76","84"
"female","group C","bachelor's degree","standard","completed","66","75","85"
"male","group C","some high school","standard","none","73","65","66"
"male","group C","some college","standard","none","97","88","87"
"male","group D","high school","free/reduced","none","79","72","69"
"male","group C","bachelor's degree","free/reduced","completed","60","71","73"
"male","group D","associate's degree","standard","none","53","61","59"
"female","group C","some high school","free/reduced","none","59","73","68"
"female","group C","master's degree","free/reduced","none","63","73","74"
"male","group D","master's degree","free/reduced","none","89","81","82"
"female","group D","bachelor's degree","standard","none","41","42","50"
"female","group D","master's degree","standard","completed","87","94","99"
"female","group B","some high school","standard","completed","38","46","53"
"female","group C","bachelor's degree","standard","completed","52","76","72"
"female","group E","high school","free/reduced","none","59","50","52"
"male","group C","high school","free/reduced","completed","65","72","71"
"female","group D","master's degree","standard","none","67","82","88"
"female","group E","some high school","standard","none","73","77","70"
"male","group C","some college","free/reduced","completed","59","67","62"
"male","group A","bachelor's degree","standard","completed","84","85","86"
"male","group E","associate's degree","free/reduced","none","79","73","71"
"male","group B","some high school","standard","completed","87","78","81"
"male","group A","associate's degree","free/reduced","none","42","44","42"
"male","group E","some high school","standard","none","64","63","54"
"male","group C","some college","free/reduced","none","53","60","60"
"male","group E","some college","free/reduced","none","70","63","57"
"female","group D","bachelor's degree","free/reduced","none","45","64","64"
"male","group A","high school","free/reduced","completed","67","62","60"
"male","group D","some high school","standard","none","50","53","45"
"male","group B","some high school","free/reduced","none","17","29","25"
"female","group C","associate's degree","standard","none","62","69","71"
"male","group E","bachelor's degree","free/reduced","none","77","70","60"
"male","group C","some high school","free/reduced","none","35","37","30"
"female","group E","high school","standard","none","79","66","71"
"male","group D","associate's degree","free/reduced","none","72","65","66"
"male","group D","associate's degree","free/reduced","none","54","55","58"
"male","group C","bachelor's degree","standard","none","93","89","84"
"female","group C","master's degree","standard","none","92","99","100"
"male","group D","some college","standard","none","75","72","73"
"female","group C","associate's degree","free/reduced","none","51","63","64"
"male","group C","associate's degree","free/reduced","completed","68","71","73"
"male","group A","some college","free/reduced","none","62","68","66"
"female","group E","some high school","standard","none","56","62","64"
"female","group C","some college","free/reduced","completed","65","80","77"
"male","group D","associate's degree","standard","none","71","52","63"
"male","group D","some high school","free/reduced","none","66","73","64"
"male","group C","some college","standard","completed","70","71","75"
"female","group D","some high school","free/reduced","completed","60","75","83"
"male","group C","high school","standard","none","60","56","53"
"female","group C","some high school","standard","none","76","92","90"
"female","group C","bachelor's degree","standard","none","84","96","90"
"female","group B","bachelor's degree","standard","completed","84","93","93"
"female","group E","some college","standard","none","72","79","71"
"female","group E","master's degree","standard","none","76","65","72"
"female","group D","bachelor's degree","standard","none","60","68","75"
"female","group E","associate's degree","standard","completed","74","78","76"
"female","group B","some high school","free/reduced","none","35","44","46"
"female","group D","bachelor's degree","standard","none","63","73","76"
"female","group D","some college","free/reduced","none","51","64","67"
"male","group D","some high school","free/reduced","none","56","52","56"
"female","group A","associate's degree","standard","none","74","89","90"
"female","group B","bachelor's degree","free/reduced","none","56","64","70"
"male","group B","master's degree","standard","none","90","78","79"
"female","group B","associate's degree","standard","none","80","82","86"
"female","group C","some high school","standard","none","82","83","76"
"female","group B","master's degree","standard","none","89","100","95"
"female","group D","master's degree","standard","completed","59","64","69"
"female","group D","associate's degree","free/reduced","none","41","48","49"
"male","group E","some high school","standard","completed","68","60","58"
"male","group B","some high school","standard","completed","68","62","66"
"female","group D","bachelor's degree","standard","completed","84","96","99"
"male","group D","associate's degree","standard","none","75","65","60"
"male","group A","bachelor's degree","standard","completed","90","84","88"
"male","group D","some college","standard","completed","67","62","69"
"male","group A","master's degree","free/reduced","none","26","28","24"
"female","group C","some college","free/reduced","completed","50","63","68"
"male","group C","associate's degree","free/reduced","completed","74","74","77"
"male","group D","master's degree","standard","none","71","64","64"
"female","group C","high school","free/reduced","none","43","43","45"
"male","group C","high school","free/reduced","none","51","42","36"
"female","group A","some college","standard","none","57","79","78"
"female","group E","bachelor's degree","standard","completed","87","86","95"
"female","group D","some college","standard","none","54","67","64"
"female","group E","master's degree","free/reduced","completed","95","100","100"
"male","group D","associate's degree","free/reduced","none","47","47","46"
"female","group D","associate's degree","standard","completed","73","73","80"
"female","group A","some high school","standard","completed","71","76","78"
"female","group D","high school","free/reduced","none","32","43","38"
"male","group B","bachelor's degree","standard","none","83","72","74"
"female","group D","some college","free/reduced","completed","64","72","70"
"female","group D","some college","free/reduced","none","63","73","74"
"male","group D","some high school","standard","none","62","52","52"
"male","group D","associate's degree","standard","none","73","76","70"
"male","group B","some high school","standard","none","73","68","57"
"female","group D","bachelor's degree","standard","none","54","69","65"
"male","group C","associate's degree","standard","none","73","70","66"
"male","group C","bachelor's degree","standard","none","78","75","69"
"male","group C","high school","free/reduced","none","71","74","74"
"female","group B","bachelor's degree","free/reduced","none","33","59","54"
"female","group D","associate's degree","standard","none","63","71","67"
"female","group D","bachelor's degree","free/reduced","none","56","58","64"
"female","group B","master's degree","standard","completed","56","69","72"
"female","group D","some high school","standard","completed","56","66","63"
"female","group C","high school","free/reduced","none","61","70","71"
"female","group C","high school","standard","none","65","78","75"
"male","group D","associate's degree","standard","completed","66","64","67"
"female","group C","some college","free/reduced","none","59","70","70"
"female","group E","some high school","standard","none","76","77","80"
"female","group E","high school","standard","completed","71","78","80"
"male","group C","master's degree","standard","completed","84","79","77"
"male","group C","associate's degree","standard","completed","100","100","97"
"male","group C","high school","standard","none","71","67","58"
"male","group D","associate's degree","free/reduced","none","83","85","79"
"male","group D","associate's degree","standard","completed","58","68","71"
"female","group B","associate's degree","standard","none","61","79","79"
"female","group C","bachelor's degree","standard","completed","66","63","70"
"female","group C","some high school","free/reduced","completed","80","89","88"
"female","group C","bachelor's degree","standard","completed","61","71","75"
"male","group D","associate's degree","free/reduced","none","73","79","74"
"female","group D","some college","free/reduced","completed","83","97","98"
"male","group C","bachelor's degree","free/reduced","none","83","77","78"
"female","group A","high school","standard","completed","84","94","90"
"male","group D","associate's degree","standard","completed","100","93","100"
"male","group C","some high school","free/reduced","none","42","42","34"
"female","group B","bachelor's degree","free/reduced","none","54","73","68"
"female","group E","master's degree","standard","none","81","91","92"
"male","group E","associate's degree","free/reduced","none","53","50","47"
"male","group D","some high school","free/reduced","none","57","57","54"
"female","group C","some college","standard","none","53","61","60"
"female","group D","high school","standard","none","83","87","90"
"female","group A","high school","standard","completed","75","91","85"
"male","group D","associate's degree","standard","completed","79","79","78"
"male","group E","some high school","standard","completed","92","76","84"
"male","group D","some high school","standard","none","62","50","55"
"male","group B","bachelor's degree","standard","completed","67","66","62"
"male","group E","some high school","standard","none","64","69","60"
"female","group C","bachelor's degree","standard","none","54","78","73"
"female","group D","associate's degree","standard","none","34","51","50"
"male","group E","high school","free/reduced","none","83","73","72"
"male","group A","some college","free/reduced","completed","53","54","59"
"female","group C","associate's degree","standard","completed","59","62","61"
"female","group C","associate's degree","free/reduced","completed","82","87","96"
"male","group C","some high school","standard","completed","64","60","56"
"male","group C","some high school","standard","completed","92","90","92"
"female","group E","bachelor's degree","free/reduced","none","70","78","73"
"male","group D","some college","standard","none","68","63","55"
"female","group B","bachelor's degree","free/reduced","none","37","55","54"
"male","group E","associate's degree","standard","none","88","83","77"
"female","group D","high school","standard","none","62","71","66"
"male","group D","bachelor's degree","standard","completed","95","69","79"
"female","group D","associate's degree","standard","completed","56","65","73"
"female","group D","bachelor's degree","standard","none","72","82","84"
"female","group E","associate's degree","free/reduced","none","92","92","97"
"male","group D","some high school","standard","none","53","58","52"
"male","group A","some high school","standard","completed","83","75","82"
"male","group C","some college","free/reduced","none","36","39","35"
"female","group C","high school","standard","none","41","55","48"
"male","group B","master's degree","standard","completed","85","89","88"
"female","group D","some high school","standard","completed","76","85","85"
"male","group C","some high school","free/reduced","none","30","29","22"
"male","group D","associate's degree","standard","none","65","62","61"
"male","group D","associate's degree","standard","completed","92","85","90"
"female","group D","high school","free/reduced","none","45","55","61"
"male","group A","bachelor's degree","standard","completed","90","75","83"
"male","group C","high school","standard","none","60","55","54"
"male","group C","associate's degree","standard","none","79","78","72"
"female","group D","some high school","standard","completed","61","68","74"
"male","group B","associate's degree","standard","completed","57","41","47"
"female","group B","some college","free/reduced","none","50","68","68"
"female","group A","some high school","standard","none","51","62","62"
"female","group D","some high school","standard","none","72","75","74"
"female","group C","associate's degree","standard","none","43","60","55"
"male","group C","associate's degree","standard","none","62","57","55"
"male","group B","some high school","standard","none","60","57","50"
"male","group E","high school","free/reduced","none","63","72","61"
"male","group D","bachelor's degree","free/reduced","none","55","56","57"
"male","group D","some high school","standard","none","86","69","68"
"female","group E","master's degree","standard","none","67","66","75"
"female","group D","master's degree","standard","completed","68","75","71"
"male","group B","high school","standard","none","84","81","79"
"female","group B","high school","free/reduced","none","65","67","68"
"male","group C","some high school","standard","completed","74","71","70"
"male","group B","some high school","standard","completed","59","66","61"
"male","group D","master's degree","free/reduced","none","68","62","60"
"female","group B","some college","free/reduced","none","38","55","50"
"male","group C","some high school","standard","none","63","61","57"
"male","group D","some college","free/reduced","none","82","77","76"
"male","group C","high school","standard","none","60","64","55"
"female","group D","associate's degree","free/reduced","completed","44","49","55"
"female","group E","some college","free/reduced","none","68","73","76"
"male","group E","some college","standard","completed","94","91","81"
"male","group C","high school","standard","none","63","48","51"
"male","group E","master's degree","free/reduced","completed","71","78","76"
"male","group A","some high school","free/reduced","completed","62","64","63"
"male","group C","high school","standard","none","77","59","54"
"female","group D","bachelor's degree","standard","none","57","67","72"
"female","group C","bachelor's degree","free/reduced","completed","52","71","71"
"male","group D","bachelor's degree","free/reduced","none","53","52","51"
"female","group C","some high school","standard","none","41","52","52"
"female","group D","some high school","free/reduced","completed","56","68","74"
"female","group A","some high school","standard","completed","68","76","80"
"male","group B","associate's degree","standard","none","41","34","36"
"male","group A","high school","standard","completed","99","93","88"
"male","group B","associate's degree","standard","none","91","96","88"
"female","group C","some high school","free/reduced","none","35","45","42"
"male","group B","some college","standard","none","83","78","70"
"female","group B","bachelor's degree","standard","completed","59","64","69"
"female","group C","bachelor's degree","standard","none","68","77","71"
"female","group E","some high school","standard","none","70","70","62"
"female","group C","some college","free/reduced","none","65","71","70"
"male","group C","some college","free/reduced","none","58","60","61"
"female","group C","some high school","free/reduced","none","49","66","62"
"male","group A","associate's degree","free/reduced","none","61","58","56"
"male","group D","some high school","standard","none","72","70","68"
"male","group C","some high school","standard","completed","67","67","67"
"male","group D","bachelor's degree","standard","none","78","75","76"
"female","group D","master's degree","standard","completed","79","91","100"
"male","group C","some high school","free/reduced","completed","48","55","54"
"female","group C","some college","standard","completed","62","67","67"
"male","group C","some college","free/reduced","none","48","44","42"
"female","group D","high school","standard","completed","68","75","77"
"female","group B","some college","standard","none","91","91","93"
"male","group D","high school","standard","none","61","59","57"
"male","group C","some high school","standard","none","72","76","68"
"female","group D","master's degree","standard","completed","46","60","67"
"female","group C","high school","free/reduced","none","40","42","47"
"male","group D","associate's degree","free/reduced","none","64","64","62"
"female","group A","some college","free/reduced","completed","59","73","78"
"female","group D","some college","free/reduced","none","53","68","57"
"male","group B","some college","free/reduced","none","72","65","65"
"male","group E","some high school","free/reduced","none","68","70","65"
"male","group C","associate's degree","free/reduced","none","57","61","60"
"female","group C","associate's degree","standard","none","59","68","67"
"male","group D","some college","standard","none","87","72","73"
"male","group D","associate's degree","standard","none","76","75","69"
"male","group C","some high school","free/reduced","none","59","69","59"
"female","group B","some high school","free/reduced","none","66","76","74"
"male","group D","some high school","standard","none","86","76","82"
"female","group C","master's degree","free/reduced","none","49","74","76"
"female","group E","some college","free/reduced","completed","69","85","78"
"female","group B","some college","standard","none","48","64","58"
"male","group B","associate's degree","standard","none","60","61","57"
"female","group C","high school","free/reduced","none","21","41","32"
"female","group D","associate's degree","free/reduced","none","44","47","55"
"male","group E","associate's degree","free/reduced","completed","72","81","70"
"female","group B","high school","free/reduced","none","50","67","67"
"male","group D","master's degree","standard","none","60","60","58"
"female","group B","bachelor's degree","standard","none","61","76","76"
"female","group B","bachelor's degree","standard","none","88","98","100"
"male","group A","master's degree","standard","completed","79","76","79"
"male","group B","associate's degree","standard","completed","70","63","66"
"female","group B","high school","free/reduced","none","71","80","73"
"male","group D","some college","free/reduced","none","39","44","38"
"male","group D","associate's degree","standard","completed","96","87","90"
"male","group D","associate's degree","standard","none","71","75","70"
"male","group C","master's degree","standard","completed","67","58","65"
"male","group E","some college","free/reduced","completed","78","83","76"
"female","group D","master's degree","standard","completed","100","100","100"
"male","group A","some high school","standard","none","73","55","56"
"male","group C","bachelor's degree","standard","none","64","61","54"
"female","group C","some college","standard","completed","72","81","82"
"female","group B","bachelor's degree","standard","none","72","84","84"
"female","group B","some college","standard","completed","42","47","45"
"male","group B","high school","standard","completed","72","70","70"
"male","group C","some college","free/reduced","none","68","62","60"
"female","group D","high school","free/reduced","none","43","50","45"
"male","group D","some high school","standard","none","85","84","78"
"female","group D","some college","free/reduced","none","77","83","86"
"female","group A","some college","free/reduced","completed","59","83","82"
"female","group B","some college","standard","none","55","62","59"
"female","group E","some college","standard","none","75","79","78"
"female","group B","some high school","standard","none","58","59","59"
"female","group D","some college","standard","completed","87","96","100"
"male","group E","master's degree","standard","completed","100","100","100"
"male","group E","some college","free/reduced","none","70","73","61"
"female","group D","some high school","standard","none","77","90","88"
"male","group D","some high school","standard","completed","86","75","73"
"male","group D","associate's degree","free/reduced","none","44","56","50"
"female","group C","high school","standard","none","69","88","80"
"female","group C","some college","standard","completed","56","67","64"
"male","group B","some high school","standard","none","80","85","82"
"female","group E","some high school","free/reduced","none","66","79","73"
"female","group E","some college","free/reduced","completed","94","98","100"
"female","group D","bachelor's degree","standard","none","74","82","84"
"female","group D","some college","standard","completed","84","90","93"
"female","group C","high school","standard","none","71","72","68"
"male","group C","bachelor's degree","standard","completed","75","70","78"
"female","group C","master's degree","free/reduced","completed","71","90","93"
"female","group D","some college","standard","completed","70","84","90"
"female","group E","some college","free/reduced","none","68","67","68"
"female","group B","high school","standard","none","64","71","69"
"male","group C","master's degree","standard","none","76","65","70"
"male","group C","associate's degree","standard","none","49","45","47"
"male","group C","master's degree","free/reduced","none","46","48","42"
"female","group C","some high school","free/reduced","none","67","75","73"
"male","group B","associate's degree","standard","none","67","70","65"
"male","group D","some college","standard","none","63","61","64"
"female","group E","some college","standard","completed","87","100","100"
"female","group B","associate's degree","standard","none","66","68","72"
"male","group C","some college","free/reduced","none","63","58","46"
"male","group D","associate's degree","free/reduced","completed","80","75","76"
"female","group D","bachelor's degree","free/reduced","none","59","75","79"
"female","group C","master's degree","standard","completed","58","69","69"
"female","group C","some high school","free/reduced","none","46","66","59"
"male","group E","high school","standard","completed","100","99","96"
"female","group D","master's degree","standard","none","90","100","100"
"male","group B","bachelor's degree","free/reduced","completed","64","70","73"
"female","group B","high school","free/reduced","none","42","51","42"
"female","group D","associate's degree","standard","completed","78","90","95"
"female","group D","some college","standard","none","83","91","88"
"female","group D","master's degree","standard","none","62","76","72"
